FARM,DATA,TYPE,YearClass,Gen,a_Sep-2024,b_Oct-2024,c_Nov-2024,d_Dec-2024,e_Jan-2025,f_Feb-2025
Anglet_P,initial,number,2023,23 4SG,11380.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,initial,number,2023,23 5SG,53618.0,32768.0,14259.0,0.0,0.0,0.0
Anglet_P,initial,number,2023,23 6SG,137184.0,124730.0,106087.0,66300.0,52210.0,30595.0
Anglet_P,initial,number,2024,24 1SG,60929.0,59137.0,54775.0,51849.0,36875.0,27568.0
Anglet_P,initial,number,2024,24 2SG,141461.0,141461.0,139226.0,128692.0,112574.0,98245.0
Anglet_P,initial,number,2024,24 3SG,70232.0,70232.0,70232.0,70231.0,70231.0,70120.0
Anglet_P,initial,number,2024,24 4SG,154506.0,153730.0,152961.0,152961.0,152961.0,150620.0
Anglet_P,initial,number,2024,24 5SG,0.0,71008.0,142609.0,142609.0,141899.0,141183.0
Anglet_P,initial,number,2024,24 6SG,0.0,0.0,0.0,0.0,71601.0,71601.0
Anglet_P,initial,number,2025,25 1SG,0.0,0.0,0.0,0.0,0.0,70700.0
Anglet_P,initial,number,TOTAL,TOTAL,629310.0,653066.0,680149.0,612642.0,638351.0,660632.0
Anglet_P,inputs,avweight,2023,23 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,avweight,2023,23 3SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,avweight,2023,23 4SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,avweight,2023,23 5SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,avweight,2023,23 6SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,avweight,2024,24 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,avweight,2024,24 2SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,avweight,2024,24 3SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,avweight,2024,24 4SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,avweight,2024,24 5SG,14.0,14.000000000000002,0.0,0.0,0.0,0.0
Anglet_P,inputs,avweight,2024,24 6SG,0.0,0.0,0.0,14.000000000000002,0.0,0.0
Anglet_P,inputs,avweight,2025,25 1SG,0.0,0.0,0.0,0.0,14.000000000000002,14.000000000000002
Anglet_P,inputs,avweight,TOTAL,TOTAL,14.0,14.000000000000002,0.0,14.000000000000002,14.000000000000002,14.000000000000002
Anglet_P,inputs,biomass,2023,23 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,biomass,2023,23 3SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,biomass,2023,23 4SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,biomass,2023,23 5SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,biomass,2023,23 6SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,biomass,2024,24 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,biomass,2024,24 2SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,biomass,2024,24 3SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,biomass,2024,24 4SG,0.0,0.0,0.0,0.0,0.0,0.0
