Fecha,Granja,Tanque,Gen,Lote,PesoMedio,Num,Biomasa,Edad,EdadMeses,Talla_100,Talla_500
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,4102.564103,8000,Optima,NA,at.1900 - 2000,g.1500 - 2000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,3720.930233,8000,Optima,NA,au.2000 - 2100,h.2000 - 2500
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,3555.555556,8000,Optima,NA,av.2100 - 2200,h.2000 - 2500
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,2978.723404,7000,Optima,NA,aw.2200 - 2300,h.2000 - 2500
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,2040.816327,5000,Optima,NA,ax.2300 - 2400,h.2000 - 2500
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,1960.784314,5000,Optima,NA,ay.2400 - 2500,h.2000 - 2500
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,566.0377358,1500,Optima,NA,az.2500 - 2600,i.2500 - 3000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,545.4545455,1500,Optima,NA,ba.2600 - 2700,i.2500 - 3000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,701.754386,2000,Optima,NA,bb.2700 - 2800,i.2500 - 3000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,1694.915254,5000,Optima,NA,bc.2800 - 2900,i.2500 - 3000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,1587.301587,5000,Optima,NA,bd.2900 - 3000,i.2500 - 3000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,923.0769231,3000,Optima,NA,be.3000 - 3100,j.3000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,746.2686567,2500,Optima,NA,bf.3100 - 3200,j.3000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,724.6376812,2500,Optima,NA,bg.3200 - 3300,j.3000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,1408.450704,5000,Optima,NA,bh.3300 - 3400,j.3000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,1643.835616,6000,Optima,NA,bi.3400 - 3500,j.3000
05 - optima,Quilmas_P,Optima,Optima,Optima,NA,4266.666667,16000,Optima,NA,bj.3500 - 8000,j.3000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,1.00E+05,5000,Optima,NA,aa.0 - 100,a.0 - 300
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,46666.66667,7000,Optima,NA,ab.100 - 200,a.0 - 300
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,36000,9000,Optima,NA,ac.200 - 300,a.0 - 300
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,31428.57143,11000,Optima,NA,ad.300 - 400,b.300 - 400
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,28888.88889,13000,Optima,NA,ae.400 - 500,c.400 - 600
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,18181.81818,10000,Optima,NA,af.500 - 600,c.400 - 600
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,15384.61538,10000,Optima,NA,ag.600 - 700,d.600 - 800
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,13333.33333,10000,Optima,NA,ah.700 - 800,d.600 - 800
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,11764.70588,10000,Optima,NA,ai.800 - 900,e.800 - 1000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,10526.31579,10000,Optima,NA,aj.900 - 1000,e.800 - 1000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,9523.809524,10000,Optima,NA,ak.1000 - 1100,f.1000 - 1500
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,8695.652174,10000,Optima,NA,al.1100 - 1200,f.1000 - 1500
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,8000,10000,Optima,NA,am.1200 - 1300,f.1000 - 1500
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,7407.407407,10000,Optima,NA,an.1300 - 1400,f.1000 - 1500
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,6896.551724,10000,Optima,NA,ao.1400 - 1500,f.1000 - 1500
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,7741.935484,12000,Optima,NA,ap.1500 - 1600,g.1500 - 2000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,7272.727273,12000,Optima,NA,aq.1600 - 1700,g.1500 - 2000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,6857.142857,12000,Optima,NA,ar.1700 - 1800,g.1500 - 2000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,5405.405405,10000,Optima,NA,as.1800 - 1900,g.1500 - 2000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,5641.025641,11000,Optima,NA,at.1900 - 2000,g.1500 - 2000
