Granja,Edad,PesoMedio,Type
Oye_P,447,528,Historical
Oye_P,698,2057,Historical
Oye_P,733,2229,Historical
Oye_P,825,1581,Historical
Oye_P,860,1624,Historical
Oye_P,698,1993,Historical
Oye_P,733,2168,Historical
Oye_P,726,1494,Historical
Oye_P,726,1982,Historical
Oye_P,692,2028,Historical
Oye_P,698,1581,Historical
Oye_P,698,2165.38077,Historical
Cervo_P,490,1135.2,Historical
Cervo_P,427,660.6,Historical
Cervo_P,427,674.8,Historical
Oye_P,453,647,Historical
Oye_P,453,457,Historical
Oye_P,572,817,Historical
Oye_P,664,1142,Historical
Oye_P,629,1101,Historical
Oye_P,664,1292,Historical
Oye_P,572,1064,Historical
Oye_P,607,1214,Historical
Oye_P,635,1177,Historical
Oye_P,769,1709.500084,Historical
Oye_P,670,1202,Historical
Oye_P,612,1367.54386,Historical
Oye_P,361,287.2727273,Historical
Oye_P,419,423,Historical
Oye_P,538,683.27,Historical
Tocha_P,348,212.4,Historical
Oye_P,739,2200.48,Historical
Oye_P,579,1743,Historical
Oye_P,642,2191.808757,Historical
Oye_P,789,2559.676905,Historical
Oye_P,726,2163,Historical
Oye_P,852,2682.51,Historical
Oye_P,726,1767,Historical
Cervo_P,399,633.2638889,Historical
Cervo_P,518,1512.714286,Historical
Cervo_P,553,1657.142857,Historical
Cervo_P,864,3046,Historical
Cervo_P,398,626.75,Historical
Cervo_P,427,954.4761905,Historical
Cervo_P,427,977,Historical
Cervo_P,490,1314.5,Historical
Cervo_P,462,895.8888889,Historical
Cervo_P,490,1394.571429,Historical
Cervo_P,490,1394.4,Historical
Cervo_P,462,1199.6,Historical
Tocha_P,390,141.824,Historical
Oye_P,739,1550.689006,Historical
Oye_P,726,864.4,Historical
Oye_P,754,1279.159693,Historical
Oye_P,726,1725,Historical
Oye_P,755,1797,Historical
Oye_P,692,1465,Historical
Oye_P,880,900.027,Historical
Cervo_P,468,676.5,Historical
Cervo_P,286,159.9428571,Historical
Cervo_P,405,435,Historical
Cervo_P,314,204.5,Historical
Cervo_P,433,630,Historical
Cervo_P,286,190.6857143,Historical
Cervo_P,336,567.2,Historical
Cervo_P,371,630.5833333,Historical
Oye_P,453,814,Historical
Oye_P,510,306,Historical
Oye_P,734,1809,Historical
Oye_P,405,491,Historical
Oye_P,440,682,Historical
Oye_P,405,250,Historical
Oye_P,440,299,Historical
Oye_P,405,232,Historical
Oye_P,502,446,Historical
Oye_P,531,524,Historical
Cervo_P,496,1268.8,Historical
Cervo_P,615,2214.705882,Historical
Cervo_P,650,2099.777778,Historical
Cervo_P,496,1344.9,Historical
Cervo_P,615,2001.411765,Historical
Cervo_P,650,2100.421053,Historical
Cervo_P,723,2655.6,Historical
Cervo_P,842,3188.484848,Historical
Cervo_P,342,438.9,Historical
Cervo_P,711,2338.588235,Historical
Cervo_P,398,499.1,Historical
Cervo_P,398,431.1,Historical
Cervo_P,370,387.1,Historical
Cervo_P,496,1044.230769,Historical
Cervo_P,615,1604.87395,Historical
Cervo_P,650,1716.218487,Historical
Cervo_P,587,1612,Historical
Oye_P,804,1907,Historical
Oye_P,923,2522,Historical
Oye_P,804,1422,Historical
Oye_P,734,1866,Historical
Oye_P,671,915.3848913,Historical
Oye_P,762,857.6500003,Historical
Oye_P,615,1297.974961,Historical
Oye_P,552,1041,Historical
Oye_P,552,1088,Historical
Oye_P,615,780.4914273,Historical
Oye_P,314,238,Historical
Tocha_P,460,412.4,Historical
Tocha_P,557,739.44,Historical
Tocha_P,586,835.36,Historical
Cervo_P,863,3390.833333,Historical
Cervo_P,705,1794.415584,Historical
